epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3079,1.34122,2.64959,1.21067,0.0292,0.61762,0.26429,0.16048,1.14595,2.89885,1.10598,0.00046676,0.00046676,0.00046676
2,39.3516,1.12051,1.62603,1.07563,0.78329,0.14451,0.41555,0.27177,1.10989,2.31406,1.0282,0.000931376,0.000931376,0.000931376
3,58.7204,1.10603,1.41391,1.06652,0.40947,0.14365,0.22028,0.13501,1.22238,2.50446,1.13875,0.00137685,0.00137685,0.00137685
4,77.1763,1.1083,1.33714,1.06456,0.53847,0.4799,0.50139,0.31681,1.20921,1.3179,1.11605,0.00156798,0.00156798,0.00156798
5,96.4094,1.08206,1.32509,1.05756,0.59119,0.58628,0.60664,0.40669,1.11256,1.08658,1.06408,0.00153497,0.00153497,0.00153497
6,115.069,1.10573,1.27796,1.06663,0.49832,0.41474,0.46551,0.31009,1.15646,1.80486,1.0751,0.00150197,0.00150197,0.00150197
7,132.57,1.07877,1.22198,1.05019,0.55693,0.55876,0.57548,0.37374,1.08046,1.31869,1.06039,0.00146896,0.00146896,0.00146896
8,152.722,1.03125,1.1413,1.03526,0.60532,0.48077,0.52935,0.31964,1.26014,1.45002,1.10599,0.00143595,0.00143595,0.00143595
9,170.256,1.02145,1.12127,1.03997,0.65483,0.60914,0.6659,0.44757,1.07609,0.96652,1.04915,0.00140295,0.00140295,0.00140295
10,189.784,1.0257,1.09571,1.03822,0.76504,0.55703,0.66558,0.46238,1.05195,0.90853,1.04982,0.00136994,0.00136994,0.00136994
11,208.668,0.99833,1.0923,1.02348,0.71721,0.58403,0.65785,0.43493,1.04407,0.91178,1.03804,0.00133693,0.00133693,0.00133693
12,226.731,1.00754,1.06577,1.03035,0.7627,0.62342,0.68637,0.4652,1.06118,0.89637,1.04375,0.00130393,0.00130393,0.00130393
