epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,987.763,0.81484,0.71114,0.96675,0.78348,0.69415,0.74527,0.53813,0.9152,0.66893,1.01918,0.000990365,0.000990365,0.000990365
43,1009.83,0.76901,0.65805,0.93806,0.82638,0.70961,0.79109,0.54379,0.94684,0.62448,1.03077,0.000973861,0.000973861,0.000973861
44,1033.03,0.79175,0.65933,0.94851,0.75912,0.6844,0.74158,0.50117,0.97902,0.69783,1.05643,0.000957358,0.000957358,0.000957358
45,1056.09,0.7876,0.66983,0.95204,0.80138,0.73443,0.78466,0.56077,0.96218,0.63228,1.0405,0.000940855,0.000940855,0.000940855
46,1077.24,0.77829,0.62673,0.94058,0.82806,0.68529,0.7649,0.53858,0.98845,0.6685,1.05419,0.000924352,0.000924352,0.000924352
47,1100.1,0.78372,0.64563,0.94113,0.81119,0.69623,0.77254,0.56183,0.91387,0.65253,1.02282,0.000907848,0.000907848,0.000907848
48,1123.65,0.76958,0.62116,0.93885,0.80205,0.70779,0.77232,0.55792,0.95402,0.64228,1.03329,0.000891345,0.000891345,0.000891345
49,1145.75,0.77226,0.64287,0.9365,0.80948,0.69845,0.76163,0.54857,0.92066,0.63818,1.0243,0.000874842,0.000874842,0.000874842
50,1168.88,0.76089,0.63719,0.94104,0.80876,0.71447,0.77615,0.56039,0.94725,0.6442,1.05477,0.000858338,0.000858338,0.000858338
51,1191.61,0.7437,0.60119,0.92904,0.8593,0.70682,0.78205,0.56282,0.92564,0.64499,1.03789,0.000841835,0.000841835,0.000841835
52,1216.73,0.76111,0.61793,0.93753,0.85512,0.708,0.77895,0.55562,0.95694,0.65821,1.04386,0.000825332,0.000825332,0.000825332
53,1239.7,0.75096,0.59257,0.92971,0.82347,0.69123,0.77167,0.55566,0.94162,0.64221,1.03965,0.000808828,0.000808828,0.000808828
54,1262.53,0.74237,0.80263,0.92332,0.79347,0.723,0.77373,0.54562,0.94818,0.68235,1.04106,0.000792325,0.000792325,0.000792325
55,1285.93,0.74576,0.60322,0.92721,0.79118,0.70203,0.77642,0.55321,0.93793,0.66071,1.0345,0.000775822,0.000775822,0.000775822
56,1308.21,0.72436,0.58208,0.92347,0.8381,0.72201,0.78602,0.56514,0.9215,0.63055,1.03723,0.000759318,0.000759318,0.000759318
57,1334.41,0.74273,0.60442,0.92672,0.83521,0.7198,0.77602,0.55864,0.92782,0.62765,1.03209,0.000742815,0.000742815,0.000742815
58,1356.39,0.71527,0.56465,0.92325,0.8506,0.70296,0.78633,0.56566,0.937,0.66389,1.03613,0.000726312,0.000726312,0.000726312
59,1381.52,0.73137,0.57338,0.92673,0.83569,0.71495,0.79374,0.57737,0.92683,0.6245,1.02955,0.000709809,0.000709809,0.000709809
60,1405.77,0.71435,0.60495,0.93866,0.78218,0.73029,0.7868,0.56364,0.91464,0.62356,1.03294,0.000693305,0.000693305,0.000693305
61,1429.48,0.72939,0.86129,0.94853,0.78282,0.69978,0.76292,0.54955,0.96026,0.67946,1.05421,0.000676802,0.000676802,0.000676802
62,1450.63,0.71032,0.54789,0.91414,0.81996,0.73455,0.78376,0.55705,0.92951,0.61693,1.03437,0.000660299,0.000660299,0.000660299
63,1474.65,0.69627,0.51231,0.90714,0.79197,0.73308,0.78521,0.56917,0.91388,0.63424,1.03509,0.000643795,0.000643795,0.000643795
64,1497.26,0.7,0.53579,0.9096,0.85958,0.6974,0.78357,0.56718,0.90455,0.62257,1.03005,0.000627292,0.000627292,0.000627292
65,1520.32,0.70018,0.54791,0.90941,0.80487,0.7175,0.77331,0.56098,0.92087,0.61203,1.03811,0.000610789,0.000610789,0.000610789
66,1542.75,0.68972,0.53579,0.90639,0.81933,0.72695,0.78387,0.56189,0.96107,0.64192,1.05352,0.000594286,0.000594286,0.000594286
67,1564.86,0.69312,0.50822,0.91818,0.89046,0.69776,0.79149,0.57204,0.93576,0.6046,1.03376,0.000577782,0.000577782,0.000577782
68,1588.1,0.68563,0.51554,0.90465,0.8337,0.72922,0.78418,0.56492,0.93457,0.60431,1.03581,0.000561279,0.000561279,0.000561279
69,1611.13,0.68955,0.51077,0.90537,0.84339,0.71175,0.77671,0.56754,0.91943,0.61362,1.03319,0.000544776,0.000544776,0.000544776
70,1634.29,0.68541,0.51891,0.91078,0.87771,0.68519,0.78028,0.56897,0.91292,0.59748,1.0284,0.000528272,0.000528272,0.000528272
71,1658.96,0.68832,0.51885,0.9068,0.79202,0.75331,0.79725,0.57458,0.9149,0.62137,1.02962,0.000511769,0.000511769,0.000511769
72,1679.92,0.66177,0.50691,0.90153,0.84446,0.71114,0.7803,0.57254,0.92935,0.63245,1.03435,0.000495266,0.000495266,0.000495266
73,1704.22,0.68328,0.49738,0.90208,0.83161,0.74063,0.79835,0.59118,0.89939,0.58836,1.0277,0.000478762,0.000478762,0.000478762
74,1728.92,0.66824,0.48061,0.89601,0.81293,0.72118,0.80214,0.57585,0.91669,0.63359,1.03594,0.000462259,0.000462259,0.000462259
75,1751.75,0.66221,0.53191,0.90924,0.84322,0.72618,0.78501,0.57646,0.9158,0.63224,1.03987,0.000445756,0.000445756,0.000445756
76,1774.37,0.65524,0.47693,0.89211,0.83361,0.71875,0.78924,0.57864,0.9101,0.62848,1.03229,0.000429253,0.000429253,0.000429253
77,1797.56,0.64743,0.471,0.89339,0.83323,0.7154,0.7874,0.58617,0.90098,0.59947,1.02815,0.000412749,0.000412749,0.000412749
78,1820.54,0.65888,0.5255,0.89776,0.86017,0.71494,0.797,0.59457,0.89846,0.5948,1.0244,0.000396246,0.000396246,0.000396246
79,1845.47,0.641,0.46709,0.89127,0.86347,0.71197,0.79344,0.5799,0.94394,0.62085,1.05176,0.000379743,0.000379743,0.000379743
80,1868.21,0.64727,0.47275,0.88958,0.84685,0.7096,0.78405,0.57463,0.90497,0.6026,1.03694,0.000363239,0.000363239,0.000363239
81,1892.84,0.626,0.45372,0.88909,0.82708,0.73155,0.78805,0.57445,0.91229,0.60901,1.03924,0.000346736,0.000346736,0.000346736
82,1915.11,0.6244,0.44593,0.88027,0.85125,0.72516,0.78958,0.58534,0.90236,0.61424,1.03486,0.000330233,0.000330233,0.000330233
83,1938.83,0.64439,0.47073,0.89378,0.83647,0.71704,0.7871,0.58067,0.91616,0.60048,1.0358,0.000313729,0.000313729,0.000313729
84,1963.13,0.64474,0.45124,0.88845,0.85535,0.72487,0.79707,0.58622,0.90042,0.59318,1.03277,0.000297226,0.000297226,0.000297226
85,1986.59,0.62178,0.44893,0.88527,0.86193,0.70916,0.7938,0.58039,0.91747,0.60502,1.04193,0.000280723,0.000280723,0.000280723
86,2010.4,0.62874,0.44978,0.88585,0.85248,0.71859,0.78528,0.57225,0.93162,0.61003,1.05075,0.00026422,0.00026422,0.00026422
87,2032.94,0.62111,0.42662,0.88575,0.84361,0.7345,0.79247,0.58121,0.89761,0.60868,1.02698,0.000247716,0.000247716,0.000247716
88,2055.21,0.61042,0.42429,0.8811,0.89885,0.70414,0.79771,0.58972,0.90328,0.58509,1.0354,0.000231213,0.000231213,0.000231213
89,2078.85,0.6036,0.41784,0.87685,0.8183,0.75091,0.79523,0.58691,0.9045,0.60385,1.03554,0.00021471,0.00021471,0.00021471
90,2100.82,0.61535,0.42233,0.87913,0.8664,0.71148,0.78976,0.58429,0.91231,0.59308,1.04502,0.000198206,0.000198206,0.000198206
91,2128.29,0.59125,0.42741,0.86962,0.86352,0.7122,0.79195,0.58997,0.9186,0.60426,1.04924,0.000181703,0.000181703,0.000181703
92,2150.45,0.58957,0.56661,0.87934,0.86165,0.70575,0.79804,0.58814,0.91663,0.59535,1.05463,0.0001652,0.0001652,0.0001652
93,2172.28,0.54976,0.55548,0.85616,0.83381,0.72936,0.80158,0.58717,0.92075,0.59721,1.05606,0.000148696,0.000148696,0.000148696
94,2194.9,0.59555,0.39938,0.86986,0.8211,0.74367,0.80249,0.59233,0.9104,0.58389,1.04755,0.000132193,0.000132193,0.000132193
95,2215.04,0.5535,0.37787,0.86114,0.83897,0.7301,0.80519,0.6019,0.89786,0.57509,1.04066,0.00011569,0.00011569,0.00011569
96,2240.02,0.54943,0.40764,0.86706,0.85728,0.72296,0.80952,0.6033,0.90472,0.58003,1.04303,9.91865e-05,9.91865e-05,9.91865e-05
97,2263.25,0.56064,0.43334,0.87519,0.87436,0.7165,0.80805,0.6015,0.90765,0.58178,1.04493,8.26832e-05,8.26832e-05,8.26832e-05
98,2285.32,0.5392,0.47729,0.86709,0.87944,0.70779,0.80781,0.60176,0.90084,0.58354,1.04048,6.61799e-05,6.61799e-05,6.61799e-05
99,2306.78,0.54058,0.34973,0.86147,0.88996,0.70725,0.81067,0.59982,0.91162,0.58171,1.04827,4.96766e-05,4.96766e-05,4.96766e-05
100,2328.58,0.5324,0.34647,0.85129,0.86277,0.72224,0.8088,0.59971,0.90595,0.5839,1.04704,3.31733e-05,3.31733e-05,3.31733e-05
