epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1008,0.91788,3.12285,1.01871,0.82107,0.68236,0.76515,0.54125,0.98073,2.72447,1.05593,0.000990365,0.000990365,0.000990365
43,1029.9,0.87899,2.74466,0.9912,0.81269,0.6761,0.7606,0.53678,0.98555,2.65746,1.0506,0.000973861,0.000973861,0.000973861
44,1052.95,0.90125,2.7234,1.00323,0.83172,0.69414,0.762,0.53281,1.00111,2.77105,1.06147,0.000957358,0.000957358,0.000957358
45,1077.34,0.86871,2.66763,0.99336,0.85774,0.71406,0.79951,0.56955,0.95954,2.56007,1.03925,0.000940855,0.000940855,0.000940855
46,1100.78,0.87879,2.63387,0.98765,0.86877,0.67135,0.77261,0.54213,0.99267,2.65352,1.06353,0.000924352,0.000924352,0.000924352
47,1124.17,0.8839,2.61527,0.99077,0.85182,0.66478,0.75712,0.54709,0.97631,2.65427,1.0563,0.000907848,0.000907848,0.000907848
48,1148.41,0.86939,2.55776,0.98172,0.85333,0.68368,0.78792,0.56595,0.97778,2.57733,1.04908,0.000891345,0.000891345,0.000891345
49,1171.22,0.88164,2.63886,0.98243,0.82203,0.71813,0.78065,0.55071,0.98032,2.59595,1.05359,0.000874842,0.000874842,0.000874842
50,1194.71,0.86167,2.59405,0.98719,0.80083,0.72313,0.78031,0.54885,0.98552,2.64078,1.05458,0.000858338,0.000858338,0.000858338
51,1217.91,0.8506,2.48684,0.97892,0.8314,0.67834,0.77065,0.53402,0.96578,2.66937,1.04403,0.000841835,0.000841835,0.000841835
52,1241.02,0.85993,2.60012,0.9855,0.86185,0.70389,0.78825,0.56176,0.96665,2.59405,1.04959,0.000825332,0.000825332,0.000825332
53,1263.86,0.84111,2.41687,0.97119,0.78199,0.72886,0.78197,0.54654,0.98009,2.62356,1.05557,0.000808828,0.000808828,0.000808828
54,1287.03,0.87878,2.84177,1.01692,0.86245,0.66172,0.76534,0.55148,0.95629,2.71366,1.03597,0.000792325,0.000792325,0.000792325
55,1310.09,0.8364,2.46804,0.96859,0.83217,0.72067,0.79381,0.55772,0.9834,2.49442,1.05363,0.000775822,0.000775822,0.000775822
56,1333.94,0.82273,2.31787,0.9696,0.76965,0.74694,0.77978,0.55284,0.9722,2.69965,1.05334,0.000759318,0.000759318,0.000759318
57,1357.04,0.84485,2.45196,0.97336,0.85632,0.7159,0.79617,0.56339,0.96233,2.59165,1.05566,0.000742815,0.000742815,0.000742815
58,1380.69,0.80701,2.25559,0.96175,0.83422,0.67448,0.77928,0.55187,0.97044,2.8662,1.05248,0.000726312,0.000726312,0.000726312
59,1403.47,0.83825,2.39441,0.97486,0.88762,0.68674,0.76643,0.54606,0.96256,2.53563,1.04238,0.000709809,0.000709809,0.000709809
60,1426.09,0.80175,2.41055,0.96289,0.84713,0.72375,0.79738,0.57037,0.94309,2.49332,1.03774,0.000693305,0.000693305,0.000693305
61,1450.95,0.80461,3.24841,0.96798,0.8556,0.71205,0.7823,0.56617,0.95453,2.52793,1.04754,0.000676802,0.000676802,0.000676802
62,1473.32,0.82367,2.24117,0.96144,0.84984,0.69223,0.77559,0.54891,0.96538,2.54646,1.04759,0.000660299,0.000660299,0.000660299
63,1496.9,0.80531,2.20061,0.9523,0.83587,0.70856,0.7765,0.558,0.95034,2.65496,1.0456,0.000643795,0.000643795,0.000643795
64,1517.9,0.8068,2.21262,0.95861,0.81793,0.72603,0.79345,0.57438,0.97887,2.54867,1.05369,0.000627292,0.000627292,0.000627292
65,1543.95,0.80727,2.20091,0.95499,0.82864,0.71044,0.78234,0.55547,0.96085,2.63258,1.05552,0.000610789,0.000610789,0.000610789
66,1565.6,0.79782,2.2242,0.95104,0.84896,0.70369,0.79373,0.56129,0.945,2.54058,1.03643,0.000594286,0.000594286,0.000594286
67,1588.69,0.80194,2.13081,0.9667,0.84978,0.70308,0.7822,0.54834,0.98606,2.60061,1.05137,0.000577782,0.000577782,0.000577782
68,1612.51,0.7934,2.1581,0.9479,0.826,0.72809,0.79521,0.55603,0.98719,2.53903,1.06364,0.000561279,0.000561279,0.000561279
69,1635.17,0.80696,2.17223,0.95592,0.80452,0.71296,0.79138,0.55755,0.96422,2.52142,1.05558,0.000544776,0.000544776,0.000544776
70,1659.52,0.79454,2.13296,0.96164,0.8124,0.72877,0.78579,0.5627,0.96484,2.62165,1.06081,0.000528272,0.000528272,0.000528272
71,1684.3,0.80364,2.18552,0.95658,0.85816,0.70764,0.79039,0.57043,0.96234,2.46845,1.05117,0.000511769,0.000511769,0.000511769
72,1705.8,0.7875,2.106,0.95175,0.84211,0.71924,0.79657,0.56831,0.95922,2.49204,1.05184,0.000495266,0.000495266,0.000495266
73,1729.43,0.79628,2.09089,0.9492,0.82067,0.72862,0.79125,0.56413,0.96951,2.50885,1.0651,0.000478762,0.000478762,0.000478762
74,1753,0.78026,2.01602,0.94151,0.89262,0.68331,0.78648,0.56986,0.94543,2.50558,1.03691,0.000462259,0.000462259,0.000462259
75,1776.01,0.76919,2.16241,0.95616,0.8792,0.7078,0.79557,0.57302,0.93931,2.45106,1.05075,0.000445756,0.000445756,0.000445756
76,1799.33,0.76048,1.9945,0.93415,0.82261,0.73212,0.79715,0.57514,0.94029,2.3914,1.04188,0.000429253,0.000429253,0.000429253
77,1824.18,0.7586,1.97452,0.936,0.85087,0.69956,0.7895,0.56947,0.93675,2.46795,1.04472,0.000412749,0.000412749,0.000412749
78,1848.53,0.76588,2.20427,0.94384,0.86081,0.72935,0.80072,0.57543,0.95207,2.41758,1.05027,0.000396246,0.000396246,0.000396246
79,1872.77,0.75541,2.03383,0.93515,0.86026,0.71037,0.80379,0.57742,0.95064,2.51378,1.04839,0.000379743,0.000379743,0.000379743
80,1899,0.76748,2.03388,0.93658,0.85541,0.72222,0.79662,0.58386,0.92839,2.43772,1.04127,0.000363239,0.000363239,0.000363239
81,1922,0.73957,1.92233,0.93183,0.87851,0.69654,0.79297,0.57517,0.93933,2.45857,1.04329,0.000346736,0.000346736,0.000346736
82,1945.29,0.73331,1.89513,0.92054,0.82407,0.77187,0.80598,0.5834,0.93991,2.44761,1.03894,0.000330233,0.000330233,0.000330233
83,1968.93,0.75718,1.95969,0.94014,0.86878,0.72451,0.79735,0.57506,0.96498,2.48358,1.05124,0.000313729,0.000313729,0.000313729
84,1992.2,0.75605,1.89605,0.93177,0.86443,0.72071,0.79301,0.57516,0.92999,2.47119,1.03845,0.000297226,0.000297226,0.000297226
85,2015.76,0.74063,1.91045,0.9291,0.86789,0.70855,0.8005,0.57918,0.91781,2.38704,1.02962,0.000280723,0.000280723,0.000280723
86,2038.8,0.73485,1.9221,0.92682,0.86905,0.69303,0.78849,0.57551,0.93727,2.44332,1.04143,0.00026422,0.00026422,0.00026422
87,2061.58,0.73919,1.83048,0.93127,0.79083,0.75054,0.79122,0.57442,0.92788,2.50657,1.03288,0.000247716,0.000247716,0.000247716
88,2084.38,0.72897,1.81317,0.92763,0.88481,0.71007,0.79613,0.57689,0.92399,2.45998,1.03547,0.000231213,0.000231213,0.000231213
89,2106.86,0.72698,1.81392,0.91908,0.80165,0.74732,0.80313,0.58587,0.92937,2.41335,1.03219,0.00021471,0.00021471,0.00021471
90,2132.68,0.72479,1.80413,0.92119,0.8463,0.72877,0.79548,0.57933,0.92125,2.43745,1.03375,0.000198206,0.000198206,0.000198206
91,2159.64,0.70066,1.80595,0.91595,0.81066,0.74906,0.7821,0.5722,0.93842,2.45551,1.0456,0.000181703,0.000181703,0.000181703
92,2181.73,0.71534,2.63579,0.93741,0.84145,0.71687,0.78386,0.57114,0.94437,2.4633,1.05258,0.0001652,0.0001652,0.0001652
93,2203.88,0.68165,2.39417,0.91004,0.88734,0.68992,0.79338,0.5751,0.93546,2.44598,1.04109,0.000148696,0.000148696,0.000148696
94,2225.72,0.7005,1.64626,0.91172,0.79532,0.75614,0.7975,0.57854,0.9362,2.39987,1.04357,0.000132193,0.000132193,0.000132193
95,2248.33,0.67607,1.62553,0.91215,0.84807,0.74165,0.80579,0.58427,0.93066,2.38878,1.03922,0.00011569,0.00011569,0.00011569
96,2268.78,0.67526,1.65717,0.91828,0.83235,0.73631,0.80093,0.58271,0.93247,2.42337,1.0401,9.91865e-05,9.91865e-05,9.91865e-05
97,2290.9,0.68528,1.92418,0.92668,0.85089,0.71972,0.79772,0.58353,0.93436,2.41758,1.03551,8.26832e-05,8.26832e-05,8.26832e-05
98,2313.83,0.66563,2.16799,0.91699,0.85655,0.72147,0.79746,0.57903,0.93215,2.42984,1.03413,6.61799e-05,6.61799e-05,6.61799e-05
99,2334.98,0.66896,1.52599,0.91078,0.8239,0.74336,0.80051,0.58392,0.93624,2.41434,1.03855,4.96766e-05,4.96766e-05,4.96766e-05
100,2356.81,0.65787,1.53389,0.90171,0.85298,0.72376,0.80088,0.58429,0.93829,2.41098,1.04186,3.31733e-05,3.31733e-05,3.31733e-05
