epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,902.8,0.87709,0.79743,0.97831,0.83114,0.68149,0.77355,0.54935,0.95163,0.71808,1.02614,0.000990365,0.000990365,0.000990365
43,922.585,0.82891,0.74482,0.94808,0.75336,0.68027,0.73771,0.52075,0.98009,0.68795,1.03543,0.000973861,0.000973861,0.000973861
44,941.925,0.84736,0.7559,0.95841,0.80594,0.67774,0.77238,0.53145,1.00188,0.70951,1.04337,0.000957358,0.000957358,0.000957358
45,962.355,0.84455,0.76584,0.96377,0.80159,0.69775,0.76408,0.5428,0.94249,0.7053,1.01848,0.000940855,0.000940855,0.000940855
46,981.019,0.83973,0.74046,0.9532,0.8102,0.67655,0.74723,0.51752,0.98949,0.71715,1.01929,0.000924352,0.000924352,0.000924352
47,1001.76,0.83701,0.72389,0.95173,0.84243,0.71947,0.78467,0.56741,0.96029,0.66088,1.02174,0.000907848,0.000907848,0.000907848
48,1021.46,0.82374,0.7046,0.94586,0.79501,0.73577,0.76718,0.56181,0.94991,0.65768,1.01658,0.000891345,0.000891345,0.000891345
49,1040.37,0.81915,0.70364,0.94343,0.8031,0.72084,0.77605,0.56388,0.94703,0.66444,1.01546,0.000874842,0.000874842,0.000874842
50,1061.04,0.82128,0.73556,0.95209,0.7782,0.68428,0.73088,0.52718,0.95268,0.70573,1.01688,0.000858338,0.000858338,0.000858338
51,1079.86,0.81106,0.70297,0.94214,0.83487,0.68911,0.77213,0.54966,0.94863,0.65961,1.02248,0.000841835,0.000841835,0.000841835
52,1100.2,0.82216,0.70499,0.95328,0.79223,0.67061,0.7503,0.52642,0.97037,0.76688,1.02308,0.000825332,0.000825332,0.000825332
53,1119.34,0.80782,0.68706,0.9408,0.74662,0.70899,0.75389,0.53223,0.97117,0.70363,1.02098,0.000808828,0.000808828,0.000808828
54,1138.41,0.80598,0.76845,0.93554,0.80445,0.69133,0.76463,0.54941,0.98082,0.72531,1.02474,0.000792325,0.000792325,0.000792325
55,1158.9,0.80039,0.68995,0.93747,0.82104,0.71906,0.7803,0.55171,0.98582,0.64652,1.04812,0.000775822,0.000775822,0.000775822
56,1177.6,0.79158,0.67526,0.93831,0.76446,0.7385,0.77376,0.55229,0.99468,0.66727,1.04133,0.000759318,0.000759318,0.000759318
57,1197.41,0.80216,0.69982,0.93629,0.7712,0.73789,0.76671,0.5538,0.93323,0.66377,1.02169,0.000742815,0.000742815,0.000742815
58,1217.32,0.77581,0.63788,0.93173,0.75358,0.70734,0.7614,0.54417,0.92325,0.79356,1.00004,0.000726312,0.000726312,0.000726312
59,1237.12,0.79556,0.66143,0.94096,0.82355,0.68073,0.7685,0.54742,0.95726,0.67085,1.02169,0.000709809,0.000709809,0.000709809
60,1256.96,0.76459,0.72964,0.93355,0.84679,0.71767,0.78894,0.57037,0.95057,0.6393,1.02539,0.000693305,0.000693305,0.000693305
61,1276.85,0.77047,0.87112,0.93901,0.77813,0.6976,0.74415,0.52439,0.97825,0.71112,1.03438,0.000676802,0.000676802,0.000676802
62,1295.45,0.78014,0.64531,0.93459,0.76615,0.70355,0.75665,0.53256,0.9533,0.71896,1.01418,0.000660299,0.000660299,0.000660299
63,1315.8,0.76722,0.61371,0.92499,0.73643,0.66763,0.7554,0.54077,0.93066,0.89322,1.01376,0.000643795,0.000643795,0.000643795
64,1334.84,0.76349,0.62813,0.9233,0.85362,0.69515,0.78616,0.57318,0.93439,0.61327,1.01851,0.000627292,0.000627292,0.000627292
65,1354.35,0.76593,0.62586,0.92638,0.75602,0.74564,0.76663,0.54662,0.94552,0.64743,1.02361,0.000610789,0.000610789,0.000610789
66,1374.1,0.75417,0.62993,0.9206,0.83285,0.72148,0.7913,0.55882,0.97203,0.64976,1.03549,0.000594286,0.000594286,0.000594286
67,1393.41,0.75769,0.61379,0.93084,0.80724,0.73789,0.79364,0.56712,0.94785,0.64286,1.02818,0.000577782,0.000577782,0.000577782
68,1413.78,0.74998,0.60523,0.91779,0.80495,0.74082,0.78954,0.56259,0.95072,0.62539,1.02408,0.000561279,0.000561279,0.000561279
69,1433.58,0.76279,0.61928,0.92499,0.81426,0.68448,0.77334,0.5464,0.93977,0.64218,1.0184,0.000544776,0.000544776,0.000544776
70,1453.05,0.75812,0.59942,0.92904,0.79711,0.71311,0.76231,0.54621,0.92041,0.65328,1.00862,0.000528272,0.000528272,0.000528272
71,1473.33,0.76341,0.61852,0.92473,0.82857,0.69698,0.78534,0.54864,0.96637,0.67174,1.03863,0.000511769,0.000511769,0.000511769
72,1492.75,0.73978,0.60275,0.91916,0.87484,0.67109,0.78018,0.56181,0.93223,0.64933,1.01731,0.000495266,0.000495266,0.000495266
73,1512.45,0.75726,0.60624,0.91941,0.81178,0.71331,0.78272,0.56297,0.93745,0.64314,1.02298,0.000478762,0.000478762,0.000478762
74,1532.43,0.73445,0.57208,0.90802,0.85363,0.68903,0.77868,0.55956,0.92724,0.64233,1.01332,0.000462259,0.000462259,0.000462259
75,1551.73,0.73313,0.61123,0.92588,0.82331,0.71741,0.7789,0.54957,0.9435,0.67555,1.02612,0.000445756,0.000445756,0.000445756
76,1572.56,0.73002,0.58133,0.91076,0.83205,0.71007,0.77607,0.54867,0.93797,0.6532,1.02174,0.000429253,0.000429253,0.000429253
77,1592.04,0.72221,0.56943,0.9094,0.81375,0.76241,0.80581,0.57692,0.93082,0.60902,1.01613,0.000412749,0.000412749,0.000412749
78,1612.07,0.73474,0.62618,0.9148,0.85019,0.7236,0.79611,0.57717,0.92964,0.62532,1.02004,0.000396246,0.000396246,0.000396246
79,1632.22,0.71281,0.55529,0.9068,0.81287,0.71189,0.78388,0.55541,0.94016,0.69891,1.01637,0.000379743,0.000379743,0.000379743
80,1651.56,0.72352,0.5746,0.90716,0.85635,0.69219,0.79348,0.56557,0.91733,0.65181,1.016,0.000363239,0.000363239,0.000363239
81,1672.73,0.70048,0.55374,0.90516,0.87906,0.6862,0.79736,0.57082,0.91875,0.63104,1.01593,0.000346736,0.000346736,0.000346736
82,1691.78,0.69619,0.5372,0.89556,0.86069,0.71355,0.80089,0.5686,0.92508,0.6269,1.02044,0.000330233,0.000330233,0.000330233
83,1711.6,0.72952,0.56533,0.91372,0.82413,0.74075,0.79835,0.56997,0.93709,0.62357,1.02478,0.000313729,0.000313729,0.000313729
84,1731.27,0.71349,0.54623,0.90447,0.85344,0.70341,0.78835,0.57746,0.91603,0.61571,1.01403,0.000297226,0.000297226,0.000297226
